"name","rank","year","industry","sector","headquarters_state","headquarters_city","market_value_mil","revenue_mil","profit_mil","asset_mil","employees","founder_is_ceo","female_ceo","newcomer_to_fortune_500","global_500"
"Merrill Lynch & Company, Inc.",33,1996,"X Brokerage",,"NY",,,21513,,,,,,,
"J.C. Penney Company, Inc.",34,1996,"General Merchandisers",,"TX",,,21419,,,,,,,
"United Parcel Service of America, Inc.",35,1996,"Mail, Package, and Freight Delivery",,"GA",,,21045,,,,,,,
"The Dow Chemical Company",36,1996,"Chemicals",,"MI",,,20957,,,,,,,
"BankAmerica Corporation",37,1996,"Commercial Banks",,"CA",,,20386,,,,,,,
"GTE Corporation",38,1996,"Telecommunications",,"CT",,,19957,,,,,,,
"International Paper Company",39,1996,"Forest and Paper Products",,"NY",,,19797,,,,,,,
"The Boeing Company",40,1996,"Aerospace & Defense",,"WA",,,19515,,,,,,,
"Xerox Corporation",41,1996,"Scientific, Photographic and Control Equipment",,"CT",,,18963,,,,,,,
"Cigna Corporation",42,1996,"Insurance: Life, Health (Stock)",,"PA",,,18955,,,,,,,
"Johnson & Johnson",43,1996,"Pharmaceuticals",,"NJ",,,18842,,,,,,,
"Loews Corporation",44,1996,"Insurance: Property and Casualty (Stock)",,"NY",,,18770,,,,,,,
"American Stores Company",45,1996,"Food & Drug Stores",,"UT",,,18308.9,,,,,,,
"Price/Costco, Inc.",46,1996,"Specialty Retailers",,"WA",,,18247.3,,,,,,,
"USX Corporation",47,1996,"Petroleum Refining",,"PA",,,18214,,,,,,,
"The Coca-Cola Company",48,1996,"Beverages",,"GA",,,18018,,,,,,,
"BellSouth Corporation",49,1996,"Telecommunications",,"GA",,,17886,,,,,,,
"Sara Lee Corporation",50,1996,"Food",,"IL",,,17719,,,,,,,
"Columbia/HCA Healthcare Corp.",51,1996,"Health Care",,"TN",,,17695,,,,,,,
"Fleming Companies, Inc.",52,1996,"Wholesalers",,"OK",,,17501.6,,,,,,,
"AMR Corporation",53,1996,"Airlines",,"TX",,,16910,,,,,,,
"Atlantic Richfield Company",54,1996,"Petroleum Refining",,"CA",,,16739,,,,,,,
"Merck & Co., Inc.",55,1996,"Pharmaceuticals",,"NJ",,,16681.1,,,,,,,
"The Travelers Group",56,1996,"Insurance: Property and Casualty (Stock)",,"NY",,,16583,,,,,,,
"Supervalu, Inc.",57,1996,"Wholesalers",,"MN",,,16563.8,,,,,,,
"Safeway, Inc.",58,1996,"Food & Drug Stores",,"CA",,,16397.5,,,,,,,
"NationsBank Corporation",59,1996,"Commercial Banks",,"NC",,,16298,,,,,,,
"Intel Corporation",60,1996,"Electronics, Electrical Equipment",,"CA",,,16202,,,,,,,
"New York Life Insurance Company",61,1996,"Insurance: Life, Health (Mutual)",,"NY",,,16201.7,,,,,,,
"Minnesota Mining & Manufacturing Company",62,1996,"Scientific, Photographic and Control Equipment",,"MN",,,16105,,,,,,,
"Caterpillar, Inc.",63,1996,"Industrial and Farm Equipment",,"IL",,,16072,,,,,,,
"RJR Nabisco Holdings Corporation",64,1996,"Food",,"NY",,,16008,,,,,,,
"American Express Company",65,1996,"Diversified Financials",,"NY",,,15841,,,,,,,
"The Home Depot, Inc.",66,1996,"Specialty Retailers",,"GA",,,15470.4,,,,,,,
"Eastman Kodak Company",67,1996,"Scientific, Photographic and Control Equipment",,"NY",,,15269,,,,,,,
"MCI Communications Corporation",68,1996,"Telecommunications",,"DC",,,15265,,,,,,,
"morg",69,1996,"General Merchandisers",,"OH",,,15048.5,,,,,,,
"UAL Corporation",70,1996,"Airlines",,"IL",,,14943,,,,,,,
"Chemical Banking Corporation",71,1996,"Commercial Banks",,"NY",,,14884,,,,,,,
"Compaq Computer Corporation",72,1996,"Computers, Office Equipment",,"TX",,,14755,,,,,,,
"AlliedSignal Inc.",73,1996,"Aerospace & Defense",,"NJ",,,14346,,,,,,,
"McDonnell Douglas Corporation",74,1996,"Aerospace & Defense",,"MO",,,14332,,,,,,,
"Georgia-Pacific Corporation",75,1996,"Forest and Paper Products",,"GA",,,14292,,,,,,,
"J.P. Morgan & Co. Inc.",76,1996,"Commercial Banks",,"NY",,,13838,,,,,,,
"Digital Equipment Corporation",77,1996,"Computers, Office Equipment",,"MA",,,13813.1,,,,,,,
"Kimberly-Clark Corporation",78,1996,"Forest and Paper Products",,"TX",,,13788.6,,,,,,,
"Bristol-Myers Squibb Company",79,1996,"Pharmaceuticals",,"NY",,,13767,,,,,,,
"Sprint Corporation",80,1996,"Telecommunications",,"KS",,,13599.5,,,,,,,
"Phillips Petroleum Company",81,1996,"Petroleum Refining",,"OK",,,13521,,,,,,,
"Lehman Brothers Holdings, Inc.",82,1996,"X Brokerage",,"NY",,,13476,,,,,,,
"Bell Atlantic Corporation",83,1996,"Telecommunications",,"PA",,,13429.5,,,,,,,
"Ameritech Corporation",84,1996,"Telecommunications",,"IL",,,13427.8,,,,,,,
"NYNEX Corporation",85,1996,"Telecommunications",,"NY",,,13406.9,,,,,,,
"American Home Products Corporation",86,1996,"Pharmaceuticals",,"NJ",,,13376.1,,,,,,,
"McKesson Corporation",87,1996,"Wholesalers",,"CA",,,13325.5,,,,,,,
"The Goodyear Tire & Rubber Company",88,1996,"Rubber and Plastic Products",,"OH",,,13165.9,,,,,,,
"Texas Instruments, Inc.",89,1996,"Electronics, Electrical Equipment",,"TX",,,13128,,,,,,,
"Rockwell International Corporation",90,1996,"Electronics, Electrical Equipment",,"CA",,,13009,,,,,,,
"Aetna Life & Casualty Co.",91,1996,"Insurance: Life, Health (Stock)",,"CT",,,12978,,,,,,,
"Archer Daniels Midland Company",92,1996,"Food",,"IL",,,12671.9,,,,,,,
"IBP, Inc.",94,1996,"Food",,"NE",,,12667.6,,,,,,,
"Alcoa",95,1996,"Metals",,"PA",,,12654.9,,,,,,,
"SBC Communications Inc.",96,1996,"Food & Drug Stores",,"ID",,,12585,,,,,,,
"Anheuser-Busch Companies, Inc.",97,1996,"Beverages",,"MO",,,12325.5,,,,,,,
"Delta Air Lines, Inc.",98,1996,"Airlines",,"GA",,,12194,,,,,,,
"The May Department Stores Company",99,1996,"General Merchandisers",,"MO",,,12187,,,,,,,
"ITT Hartford Group, Inc.",100,1996,"Insurance: Property and Casualty (Stock)",,"CT",,,12150,,,,,,,
"SYSCO Corporation",101,1996,"Wholesalers",,"TX",,,12118,,,,,,,
"The Walt Disney Company",102,1996,"Entertainment",,"CA",,,12112.1,,,,,,,
"Winn-Dixie Stores, Inc.",103,1996,"Food & Drug Stores",,"FL",,,11787.8,,,,,,,
"Weyerhaeuser Company",104,1996,"Forest and Paper Products",,"WA",,,11787.7,,,,,,,
"Viacom Inc.",105,1996,"Entertainment",,"NY",,,11780.2,,,,,,,
"U S WEST, Inc.",106,1996,"Telecommunications",,"CO",,,11746,,,,,,,
"Raytheon Company",107,1996,"Electronics, Electrical Equipment",,"MA",,,11716,,,,,,,
"Nationwide Insurance Enterprise",108,1996,"Insurance: Life, Health (Mutual)",,"OH",,,11702.4,,,,,,,
"Teachers Insurance & Annuity Association of America",109,1996,"Insurance: Life, Health (Mutual)",,"NY",,,11646.2,,,,,,,
"Melville Corporation",110,1996,"Specialty Retailers",,"NY",,,11516.4,,,,,,,
"Northwestern Mutual Life Insurance Company",111,1996,"Insurance: Life, Health (Mutual)",,"WI",,,11483.3,,,,,,,
"Chase Manhattan Corporation",112,1996,"Commercial Banks",,"NY",,,11336,,,,,,,
"Ashland, Inc.",113,1996,"Petroleum Refining",,"KY",,,11251.1,,,,,,,
"Apple Computer, Inc.",114,1996,"Computers, Office Equipment",,"CA",,,11062,,,,,,,
"WMX Technologies, Inc.",115,1996,"Waste Management",,"IL",,,10979.3,,,,,,,
"Morgan Stanley Group Inc.",116,1996,"Diversified Financials",,"NY",,,10949,,,,,,,
"Federal Home Loan Mortgage Corporation",117,1996,"Diversified Financials",,"VA",,,10915,,,,,,,
"First Chicago NBD Corporation",118,1996,"Commercial Banks",,"IL",,,10681,,,,,,,
"First Union Corporation",119,1996,"Commercial Banks",,"NC",,,10582.9,,,,,,,
"The Principal Mutual Life Insurance Company",120,1996,"Insurance: Life, Health (Mutual)",,"IA",,,10561,,,,,,,
"CSX Corporation",121,1996,"Railroads",,"VA",,,10504,,,,,,,
"Occidental Petroleum Corporation",122,1996,"Chemicals",,"CA",,,10423,,,,,,,
"Walgreen Co.",123,1996,"Food & Drug Stores",,"IL",,,10395.1,,,,,,,
"The Coastal Corporation",125,1996,"Petroleum Refining",,"TX",,,10223.4,,,,,,,
"TRW, Inc.",126,1996,"Motor Vehicles & Parts",,"OH",,,10172.4,,,,,,,
"Pfizer, Inc.",127,1996,"Pharmaceuticals",,"NY",,,10021.4,,,,,,,
"Emerson Electric Company",128,1996,"Electronics, Electrical Equipment",,"MO",,,10012.9,,,,,,,
"Abbott Laboratories",129,1996,"Pharmaceuticals",,"IL",,,10012.2,,,,,,,
"Textron, Inc.",130,1996,"Aerospace & Defense",,"RI",,,9973,,,,,,,
"Alco Standard Corp.",131,1996,"Wholesalers",,"PA",,,9891.8,,,,,,,
"Baxter International, Inc.",133,1996,"Scientific, Photographic and Control Equipment",,"IL",,,9730,,,,,,,
"Pacific Gas & Electric Company",134,1996,"Utilities: Gas and Electric",,"CA",,,9621.8,,,,,,,
"Westinghouse Electric Corporation",135,1996,"Electronics, Electrical Equipment",,"PA",,,9605,,,,,,,
"Publix Super Markets, Inc.",136,1996,"Food & Drug Stores",,"FL",,,9470.7,,,,,,,
"Deere & Company",137,1996,"Specialty Retailers",,"NJ",,,9426.9,,,,,,,
"Federal Express Corporation",138,1996,"Mail, Package, and Freight Delivery",,"TN",,,9392.1,,,,,,,
"Liberty Mutual Insurance Group",139,1996,"Insurance: Property and Casualty (Mutual)",,"MA",,,9308,,,,,,,
"Fluor Corporation",140,1996,"Engineering & Construction",,"CA",,,9301.4,,,,,,,
"Enron Corp.",141,1996,"Pipelines",,"TX",,,9189,,,,,,,
"The Southern Company",142,1996,"Utilities: Gas and Electric",,"GA",,,9180,,,,,,,
"Northwest Airlines, Inc.",143,1996,"Airlines",,"MN",,,9084.9,,,,,,,
"Pacific Telesis Group",144,1996,"Telecommunications",,"CA",,,9042,,,,,,,
"Banc One Corporation",145,1996,"Commercial Banks",,"OH",,,8970.9,,,,,,,
"Monsanto Company",146,1996,"Chemicals",,"MO",,,8962,,,,,,,
"Marriott International",147,1996,"Hotels, Casinos, Resorts",,"DC",,,8960.7,,,,,,,
"Union Pacific Corporation",148,1996,"Railroads",,"PA",,,8942,,,,,,,
"Salomon, Inc.",149,1996,"X Brokerage",,"NY",,,8933,,,,,,,
"Tenneco, Inc.",150,1996,"Motor Vehicles & Parts",,"CT",,,8899,,,,,,,
"ITT Industries, Inc.",151,1996,"Motor Vehicles & Parts",,"NY",,,8884,,,,,,,
"Bankers Trust New York Corporation",152,1996,"Commercial Banks",,"NY",,,8600,,,,,,,
"Bergen Brunswig Corporation",153,1996,"Wholesalers",,"CA",,,8447.6,,,,,,,
"CPC International, Inc.",154,1996,"Food",,"NJ",,,8431.5,,,,,,,
"Edison International",155,1996,"Utilities: Gas and Electric",,"CA",,,8405,,,,,,,
"General Mills, Inc.",156,1996,"Food",,"MN",,,8393.6,,,,,,,
"Sun Company, Inc.",157,1996,"Petroleum Refining",,"PA",,,8370,,,,,,,
"Colgate-Palmolive Company",158,1996,"Soaps, Cosmetics",,"NY",,,8358.2,,,,,,,
"Whirlpool Corporation",159,1996,"Electronics, Electrical Equipment",,"MI",,,8347,,,,,,,
"Johnson Controls, Inc.",160,1996,"Motor Vehicles & Parts",,"WI",,,8330.3,,,,,,,
"Woolworth Corporation",161,1996,"Specialty Retailers",,"NY",,,8224,,,,,,,
"H.J. Heinz Company",162,1996,"Food",,"PA",,,8086.8,,,,,,,
"Time Warner Inc.",163,1996,"Entertainment",,"NY",,,8067,,,,,,,
"College Retirement Equities Fund",164,1996,"Diversified Financials",,"NY",,,7950.6,,,,,,,
"Dean Witter, Discover & Co.",165,1996,"Diversified Financials",,"NY",,,7934.4,,,,,,,
"Fleet Financial Group",166,1996,"Commercial Banks",,"MA",,,7919.4,,,,,,,
"The Limited, Inc.",167,1996,"Specialty Retailers",,"OH",,,7881.4,,,,,,,
"Cardinal Health, Inc.",168,1996,"Wholesalers",,"OH",,,7806.1,,,,,,,
"Dana Corporation",169,1996,"Motor Vehicles & Parts",,"OH",,,7794.5,,,,,,,
"Norwest Corporation",170,1996,"Commercial Banks",,"MN",,,7582.3,,,,,,,
"Eli Lilly & Company",171,1996,"Pharmaceuticals",,"IN",,,7535.4,,,,,,,
"Unocal Corporation",172,1996,"Petroleum Refining",,"CA",,,7527,,,,,,,
"Amerada Hess Corporation",173,1996,"Petroleum Refining",,"NY",,,7524.8,,,,,,,
"USAir Group, Inc.",174,1996,"Airlines",,"VA",,,7474.3,,,,,,,
"Stone Container Corporation",175,1996,"Forest and Paper Products",,"IL",,,7351.2,,,,,,,
"Tosco Corporation",176,1996,"Petroleum Refining",,"CT",,,7284.1,,,,,,,
"Campbell Soup Company",177,1996,"Food",,"NJ",,,7278,,,,,,,
"Farmland Industries, Inc.",178,1996,"Food",,"MO",,,7256.9,,,,,,,
"Ralston Purina Company",180,1996,"Food",,"MO",,,7210.3,,,,,,,
"General Re Corporation",181,1996,"Insurance: Property and Casualty (Stock)",,"CT",,,7210.2,,,,,,,
"AFLAC, Inc.",182,1996,"Insurance: Life, Health (Stock)",,"GA",,,7190.6,,,,,,,
"Pharmacia & Upjohn, Inc.",183,1996,"Pharmaceuticals",,"DE",,,7094.6,,,,,,,
"Reynolds Metals Company",184,1996,"Specialty Retailers",,"NC",,,7075.4,,,,,,,
"PPG Industries, Inc.",185,1996,"Chemicals",,"PA",,,7057.7,,,,,,,
"Warner-Lambert Company",186,1996,"Pharmaceuticals",,"NJ",,,7039.8,,,,,,,
"Kellogg Company",187,1996,"Food",,"MI",,,7003.7,,,,,,,
"Champion International Corporation",188,1996,"Forest and Paper Products",,"CT",,,6972,,,,,,,
"Unicom Corporation",189,1996,"Utilities: Gas and Electric",,"IL",,,6910,,,,,,,
"Tele-Communications, Inc.",190,1996,"Telecommunications",,"CO",,,6851,,,,,,,
"Eaton Corporation",191,1996,"Motor Vehicles & Parts",,"OH",,,6821.7,,,,,,,
"Northrop Grumman Corporation",192,1996,"Aerospace & Defense",,"CA",,,6818,,,,,,,
"Massachusetts Mutual Life Insurance",193,1996,"Insurance: Life, Health (Mutual)",,"MA",,,6804.1,,,,,,,
"James River Corporation of Virginia",194,1996,"Forest and Paper Products",,"VA",,,6799.5,,,,,,,
"The Gillette Company",195,1996,"Metal Products",,"MA",,,6794.7,,,,,,,
"Coca-Cola Enterprises, Inc.",196,1996,"Beverages",,"GA",,,6773,,,,,,,
"Honeywell, Inc.",197,1996,"Scientific, Photographic and Control Equipment",,"MN",,,6731.3,,,,,,,
"Levi Strauss Associates",198,1996,"Apparel",,"CA",,,6707.6,,,,,,,
"Lincoln National Corporation",199,1996,"Insurance: Life, Health (Stock)",,"IN",,,6633.3,,,,,,,
"United Services Automobile Association",200,1996,"Insurance: Property and Casualty (Stock)",,"TX",,,6610.9,,,,,,,
"R.R. Donnelley & Sons",201,1996,"Publishing, Printing",,"IL",,,6511.8,,,,,,,
"American General Corporation",202,1996,"Diversified Financials",,"TX",,,6495,,,,,,,
"Unisys Corporation",203,1996,"Computer And Data Services",,"PA",,,6460.4,,,,,,,
"Consolidated Edison Company of New York, Inc.",204,1996,"Utilities: Gas and Electric",,"NY",,,6401.5,,,,,,,
"PNC Bank Corp.",205,1996,"Commercial Banks",,"PA",,,6389.5,,,,,,,
"The Quaker Oats Company",206,1996,"Food",,"IL",,,6365.2,,,,,,,
"ITT Corporation",207,1996,"Hotels, Casinos, Resorts",,"NY",,,6346,,,,,,,
"Navistar International Corporation",208,1996,"Motor Vehicles & Parts",,"IL",,,6342,,,,,,,
"Entergy Corporation",209,1996,"Utilities: Gas and Electric",,"LA",,,6274.4,,,,,,,
"Burlington Northern Santa Fe, Corp.",210,1996,"Railroads",,"TX",,,6183,,,,,,,
"Guardian Life Insurance Co. of America",211,1996,"Insurance: Life, Health (Mutual)",,"NY",,,6172.3,,,,,,,
"Public Service Enterprise Group, Inc.",212,1996,"Utilities: Gas and Electric",,"NJ",,,6164.2,,,,,,,
"Transamerica Corporation",213,1996,"Insurance: Life, Health (Stock)",,"CA",,,6101.1,,,,,,,
"Dillard Department Stores, Inc.",214,1996,"General Merchandisers",,"AR",,,6097.1,,,,,,,
"Chubb Corporation",215,1996,"Insurance: Property and Casualty (Stock)",,"NJ",,,6089.2,,,,,,,
"KeyCorp",216,1996,"Commercial Banks",,"OH",,,6054,,,,,,,
"Associated Insurance Companies,Inc.",217,1996,"Insurance: Life, Health (Stock)",,"IN",,,6037.5,,,,,,,
"Halliburton Company",218,1996,"Engineering & Construction",,"TX",,,5951.3,,,,,,,
"Microsoft Corporation",219,1996,"Computer And Data Services",,"WA",,,5937,,,,,,,
"Arrow Electronics",220,1996,"Wholesalers",,"NY",,,5919.4,,,,,,,
"American Brands, Inc.",221,1996,"Tobacco",,"CT",,,5904.9,,,,,,,
"Sun Microsystems, Inc.",222,1996,"Computers, Office Equipment",,"CA",,,5901.9,,,,,,,
"Union Carbide Corporation",223,1996,"Chemicals",,"CT",,,5888,,,,,,,
"John Hancock Mutual Life Insurance Company",224,1996,"Insurance: Life, Health (Mutual)",,"MA",,,5845.5,,,,,,,
"Tandy Corporation",225,1996,"Specialty Retailers",,"TX",,,5839.1,,,,,,,
"Continental Airlines, Inc.",226,1996,"Airlines",,"TX",,,5825,,,,,,,
"Merisel, Inc.",227,1996,"Wholesalers",,"CA",,,5801.8,,,,,,,
"W.R. Grace & Co.",228,1996,"Chemicals",,"FL",,,5784.2,,,,,,,
"Browning-Ferris Industries, Inc.",229,1996,"Waste Management",,"TX",,,5779.4,,,,,,,
"Ingersoll-Rand Company",230,1996,"Industrial and Farm Equipment",,"NJ",,,5729,,,,,,,
"American Electric Power Company, Inc.",231,1996,"Utilities: Gas and Electric",,"OH",,,5670.3,,,,,,,
"United HealthCare Corporation",232,1996,"Health Care",,"MN",,,5670,,,,,,,
"Texas Utilities Company",233,1996,"Utilities: Gas and Electric",,"TX",,,5638.7,,,,,,,
"Dresser Industries, Inc.",234,1996,"Industrial and Farm Equipment",,"TX",,,5628.7,,,,,,,
"ARAMARK Corporation",235,1996,"Food Services",,"PA",,,5600.6,,,,,,,
"FPL Group, Inc.",236,1996,"Utilities: Gas and Electric",,"FL",,,5592.5,,,,,,,
"Circuit City Stores, Inc.",237,1996,"Specialty Retailers",,"VA",,,5582.9,,,,,,,
"The Black & Decker Corporation",238,1996,"Industrial and Farm Equipment",,"MD",,,5566.2,,,,,,,
"Tyson Foods, Inc.",239,1996,"Food",,"AR",,,5511.2,,,,,,,
"Loral Corporation",240,1996,"Electronics, Electrical Equipment",,"NY",,,5484.4,,,,,,,
"Manpower Inc.",241,1996,"Temporary Help",,"WI",,,5484.2,,,,,,,
"Dun & Bradstreet Corporation (The)",242,1996,"Computer And Data Services",,"CT",,,5415.1,,,,,,,
"Bank of Boston Corporation",243,1996,"Commercial Banks",,"MA",,,5410.6,,,,,,,
"The St. Paul Companies, Inc.",244,1996,"Insurance: Property and Casualty (Stock)",,"MN",,,5409.6,,,,,,,
"Wells Fargo & Company",245,1996,"Commercial Banks",,"CA",,,5409,,,,,,,
"Corning, Inc.",246,1996,"Building Materials, Glass",,"NY",,,5346.1,,,,,,,
"The Bank of New York Company",247,1996,"Commercial Banks",,"NY",,,5327,,,,,,,
"Paine Webber Group, Inc.",248,1996,"X Brokerage",,"NY",,,5320.1,,,,,,,
"Office Depot, Inc.",249,1996,"Specialty Retailers",,"FL",,,5313.2,,,,,,,
"Dell Computer Corporation",250,1996,"Computers, Office Equipment",,"TX",,,5296,,,,,,,
"Consolidated Freightways, Inc.",251,1996,"Trucking",,"CA",,,5281.1,,,,,,,
"Genuine Parts Company",252,1996,"Wholesalers",,"GA",,,5261.9,,,,,,,
"Cummins Engine Company, Inc.",253,1996,"Industrial and Farm Equipment",,"IN",,,5245,,,,,,,
"AMP , Inc.",254,1996,"Electronics, Electrical Equipment",,"PA",,,5227.2,,,,,,,
"American Standard Companies, Inc.",255,1996,"Industrial and Farm Equipment",,"NJ",,,5221.5,,,,,,,
"The Mead Corporation",256,1996,"Forest and Paper Products",,"OH",,,5179.4,,,,,,,
"FoxMeyer Health Corporation",257,1996,"Wholesalers",,"TX",,,5177.1,,,,,,,
"Ryder System",258,1996,"Automotive Retailing, Services",,"FL",,,5167.4,,,,,,,
"Schering-Plough Corporation",259,1996,"Pharmaceuticals",,"NJ",,,5150.6,,,,,,,
"Household International, Inc.",260,1996,"Diversified Financials",,"IL",,,5144.4,,,,,,,
"Case Corporation",261,1996,"Industrial and Farm Equipment",,"WI",,,5105,,,,,,,
"Best Buy Co. Inc.",262,1996,"Specialty Retailers",,"MN",,,5079.6,,,,,,,
"The Vons Companies, Inc.",263,1996,"Food & Drug Stores",,"CA",,,5070.7,,,,,,,
"VF Corporation",264,1996,"Apparel",,"PA",,,5062.3,,,,,,,
"Boise Cascade Corporation",265,1996,"Forest and Paper Products",,"ID",,,5057.7,,,,,,,
"Crown Cork & Seal Company, Inc.",266,1996,"Metal Products",,"PA",,,5053.8,,,,,,,
"Eastman Chemical Company",267,1996,"Chemicals",,"TN",,,5040,,,,,,,
"Eckerd Corporation",268,1996,"Food & Drug Stores",,"FL",,,4997.1,,,,,,,
"PanEnergy Corp.",269,1996,"Pipelines",,"TX",,,4967.5,,,,,,,
"Lyondell Petrochemical Company",270,1996,"Chemicals",,"TX",,,4936,,,,,,,
"Cooper Industries, Inc.",271,1996,"Electronics, Electrical Equipment",,"TX",,,4885.9,,,,,,,
"Bethlehem Steel Corporation",272,1996,"Metals",,"PA",,,4867.5,,,,,,,
"Paccar Inc.",273,1996,"Motor Vehicles & Parts",,"WA",,,4848.2,,,,,,,
"First Interstate Bancorp",274,1996,"Commercial Banks",,"CA",,,4827.5,,,,,,,
"Inland Steel Industries, Inc.",275,1996,"Metals",,"IL",,,4781.5,,,,,,,
"Masco",276,1996,"Metal Products",,"MI",,,4779,,,,,,,
"Nike, Inc.",277,1996,"Wholesalers",,"OR",,,4760.8,,,,,,,
"Lear Seating Corporation",278,1996,"Motor Vehicles & Parts",,"MI",,,4714.4,,,,,,,
"Humana, Inc.",279,1996,"Health Care",,"KY",,,4702,,,,,,,
"Duke Power Company",280,1996,"Utilities: Gas and Electric",,"NC",,,4676.7,,,,,,,
"Bindley Western Industries",281,1996,"Wholesalers",,"IN",,,4672.5,,,,,,,
"AmeriSource Health Corporation",282,1996,"Wholesalers",,"PA",,,4668.9,,,,,,,
"Norfolk Southern Corporation",283,1996,"Railroads",,"VA",,,4668,,,,,,,
"Thrifty Payless Holdings, Inc.",284,1996,"Food & Drug Stores",,"OR",,,4658.8,,,,,,,
"Dominion Resources, Inc.",285,1996,"Utilities: Gas and Electric",,"VA",,,4651.7,,,,,,,
"FMC Corporation",286,1996,"Chemicals",,"IL",,,4566.6,,,,,,,
"Seagate Technology, Inc.",287,1996,"Computers, Office Equipment",,"CA",,,4539.6,,,,,,,
"Tyco International Ltd.",288,1996,"Metal Products",,"NH",,,4534.7,,,,,,,
"Rite Aid Corporation",289,1996,"Food & Drug Stores",,"PA",,,4533.9,,,,,,,
"Mellon Bank Corporation",290,1996,"Commercial Banks",,"PA",,,4514,,,,,,,
"Avon Products, Inc.",291,1996,"Soaps, Cosmetics",,"NY",,,4492.1,,,,,,,
"Berkshire Hathaway, Inc.",292,1996,"Diversified Financials",,"NE",,,4487.7,,,,,,,
"The TJX Companies, Inc.",293,1996,"Specialty Retailers",,"MA",,,4447.5,,,,,,,
"Revco D.S., Inc.",294,1996,"Food & Drug Stores",,"OH",,,4431.9,,,,,,,
"H.F. Ahmanson",295,1996,"Savings Institutions",,"CA",,,4397.5,,,,,,,
"The Gap, Inc.",296,1996,"Specialty Retailers",,"CA",,,4395.3,,,,,,,
"Houston Industries Incorporated",297,1996,"Utilities: Gas and Electric",,"TX",,,4388.4,,,,,,,
"Avnet",298,1996,"Wholesalers",,"NY",,,4300,,,,,,,
"The LTV Corporation",299,1996,"Metals",,"OH",,,4283.2,,,,,,,
"Union Camp Corporation",300,1996,"Forest and Paper Products",,"NJ",,,4211.7,,,,,,,
"PECO Energy Company",301,1996,"Utilities: Gas and Electric",,"PA",,,4186.2,,,,,,,
"Phelps Dodge Corporation",302,1996,"Metals",,"AZ",,,4185.4,,,,,,,
"Supermarkets General Holdings Corporation",303,1996,"Food & Drug Stores",,"NJ",,,4182.1,,,,,,,
